courseNumber,eval_link,quarter
MGT946,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15361,Fall-1
MGT979,,Fall-1
MGMT742a,,Fall-2
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall-2
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall-2
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall-2
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall-2
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall-2
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall-2
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall-2
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall-2
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall-2
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall-2
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall-2
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall-2
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall-2
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall-2
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall-2
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall-2
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall-2
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall-2
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall-2
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall-2
MGT529,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15395,Fall-2
MGT532,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15364,Fall-2
MGT532,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15364,Fall-2
MGT532,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15364,Fall-2
MGT553,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15367,Fall-2
MGT553,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15367,Fall-2
MGT558,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15369,Fall-2
MGT558,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15369,Fall-2
MGT558,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15369,Fall-2
MGT582,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15339,Fall-2
MGT633,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15416,Fall-2
MGT649,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15373,Fall-2
MGT674,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15374,Fall-2
MGT800,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15375,Fall-2
MGT802,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15376,Fall-2
MGT802,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15376,Fall-2
MGT805,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15396,Fall-2
MGT809,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15378,Fall-2
MGT809,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15378,Fall-2
MGT813,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15410,Fall-2
MGT815,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15380,Fall-2
MGT815,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15380,Fall-2
MGT815,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15380,Fall-2
MGT840,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15383,Fall-2
MGT844,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15384,Fall-2
MGT887,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15385,Fall-2
MGT887,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15385,Fall-2
MGT887,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15385,Fall-2
MGT894,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15388,Fall-2
MGT897,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15389,Fall-2
MGT897,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15389,Fall-2
MGT927,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15397,Fall-2
MGT932,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15391,Fall-2
MGT932,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15391,Fall-2
MGT933,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=16304,Fall-2
MGT950,,Fall-2
MGT952,,Fall-2
MGT981,,Fall-2
MGT997,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15393,Fall-2
MGT997,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15393,Fall-2
MGMT700,,Fall
MGMT732,,Fall
MGMT740,,Fall
MGMT753,,Fall
MGMT760,,Fall
MGMT762,,Fall
MGMT763,,Fall
MGMT781,,Fall
MGMT781,,Fall
MGMT781,,Fall
MGMT781,,Fall
MGMT781,,Fall
MGMT782,,Fall
MGMT782,,Fall
MGMT782,,Fall
MGMT782,,Fall
MGMT782,,Fall
MGMT791,,Fall
MGT401,,Fall
MGT402,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14968,Fall
MGT403,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14973,Fall
MGT404,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=14978,Fall
MGT405,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15016,Fall
MGT410,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15025,Fall
MGT411,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15032,Fall
MGT412,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15039,Fall
MGT413,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15044,Fall
MGT415,,Fall
MGT417,,Fall
MGT422,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15544,Fall
MGT503,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15542,Fall
MGT525,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15305,Fall
MGT525,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15305,Fall
MGT527,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15306,Fall
MGT531,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15307,Fall
MGT532,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15364,Fall
MGT536,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15308,Fall
MGT541,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15309,Fall
MGT544,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=12706,Fall
MGT546,https://oce.app.yale.edu/ocedashboard/studentViewer/courseSummary?termCode=202403&crn=15310,Fall
