courseNumber,courseTitle,daytime,faculty1,Units
MGT412,Investor,T  Th 2:40 PM-4:00 PM,"Fontanier, Paul",2
MGT413,State & Society,T  Th 8:30 AM-9:50 AM,"Mobarak, Mushfiq",2
MGT413,State & Society,T  Th 10:10 AM-11:30 AM,"Mobarak, Mushfiq",2
MGT413,State & Society,T  Th 1:00 PM-2:20 PM,"Mobarak, Mushfiq",2
MGT413,State & Society,T  Th 2:40 PM-4:00 PM,"Mobarak, Mushfiq",2
MGT413,State & Society,T  Th 4:10 PM-5:30 PM,"Mobarak, Mushfiq",2
MGT529,Global Social Entrepreneurship: India,W 2:40 PM-5:40 PM,"Ghosh, Asha",2
MGT532,Business Ethics,T  Th 10:10 AM-11:30 AM,"Dana, Jason",2
MGT532,Business Ethics,T  Th 1:00 PM-2:20 PM,"Cusimano, Corey",2
MGT532,Business Ethics,T  Th 10:10 AM-11:30 AM,"Cusimano, Corey",2
MGT553,Strategic Communication: Delivering Effective Presentations,T  Th 10:10 AM-11:30 AM,"Reich, Taly",2
MGT553,Strategic Communication: Delivering Effective Presentations,T  Th 1:00 PM-2:20 PM,"Reich, Taly",2
MGT558,Consumer Behavior,M  W 2:40 PM-4:00 PM,"Klusowski, Joowon",2
MGT558,Consumer Behavior,T  Th 2:40 PM-4:00 PM,"Klusowski, Joowon",2
MGT558,Consumer Behavior,M  W 1:00 PM-2:20 PM,"Klusowski, Joowon",2
MGT582,The Future of Global Finance,Th 1:00 PM-4:00 PM,"Garten, Jeffrey",2
MGT633,Topics in Advanced Management for Business & Society,T  Th 2:40 PM-4:00 PM,"Jensen, Robert",2
MGT649,World Financial History,T  Th 10:10 AM-11:30 AM,"Goetzmann, William",2
MGT674,Leading Small and Medium Enterprises,M  W 10:10 AM-11:30 AM,"Wasserstein, A.J.",2
MGT800,Crisis Management in Tech,M  W 10:10 AM-11:30 AM,"Guarini, Kathryn",2
MGT802,Large language models: technology and applications,T  Th 1:00 PM-2:20 PM,"Jensen, Kyle",2
MGT802,Large language models: technology and applications,T  Th 2:40 PM-4:00 PM,"Jensen, Kyle",2
MGT805,"Fixed Income Securities: Bonds, Swaps, and Derivatives (Part 1)",T  Th 10:10 AM-11:30 AM,"Majd, Saman",2
MGT809,Advanced Business Analytics,M  W 2:40 PM-4:00 PM,"Lian, Zhen",2
MGT809,Advanced Business Analytics,M  W 4:10 PM-5:30 PM,"Lian, Zhen",2
MGT813,Statistics for Business & Society: Advanced Practicum,M  W 1:00 PM-2:20 PM,"Jensen, Robert",2
MGT815,Managerial Controls,M  W 10:10 AM-11:30 AM,"Steffen, Thomas",2
MGT815,Managerial Controls,M  W 1:00 PM-2:20 PM,"Steffen, Thomas",2
MGT815,Managerial Controls,M  W 8:30 AM-9:50 AM,"Steffen, Thomas",2
MGT840,"Stakeholders, Management, and Capitalism",M 2:40 PM-5:40 PM,"Snyder, Edward",2
MGT844,Finance and Society: The Rise of Private Capital ,T 4:10 PM-7:10 PM,"Ma, Song",2
MGT887,Negotiations,W 8:30 AM-11:30 AM,"Cain, Daylian",2
MGT887,Negotiations,W 1:00 PM-4:00 PM,"Cain, Daylian",2
MGT887,Negotiations,T 1:00 PM-4:00 PM,"Cain, Daylian",2
MGT894,Connected Cities and Urban Ecosystems,M 2:40 PM-5:40 PM,"Darwish, Sasson",2
