courseNumber,courseTitle,daytime,faculty1,Units
MGT858,Database Systems,M  W 1:00 PM-2:20 PM,"Jensen, Kyle",2
MGT860,Generative AI for Managers,T  Th 8:30 AM-9:50 AM,"Sudhir, K.",2
MGT863,Political Ethics and Issues for Organizations,M 4:10 PM-7:10 PM,"Kaune, Jason",2
MGT866,Build a Metaverse Strategy,M 4:10 PM-7:10 PM,"Prescott, Brett",2
MGT873,Supply Chain Management,M  W 10:10 AM-11:30 AM,"Kim, Sang",2
MGT873,Supply Chain Management,M  W 1:00 PM-2:20 PM,"Kim, Sang",2
MGT873,Supply Chain Management,M  W 8:30 AM-9:50 AM,"Kim, Sang",2
MGT874,Patterns in Entrepreneurship,M  W 10:10 AM-11:30 AM,"Wasserstein, A.J.",2
MGT885,Commercial Real Estate Investing,M  W 1:00 PM-2:20 PM,"LaPoint, Cameron",2
MGT885,Commercial Real Estate Investing,M  W 2:40 PM-4:00 PM,"LaPoint, Cameron",2
MGT887,Negotiations,W 8:30 AM-11:30 AM,"Cusimano, Corey",2
MGT887,Negotiations,W 2:40 PM-5:40 PM,"Cusimano, Corey",2
MGT891,Private Capital and Impact Investing,Th 2:40 PM-5:40 PM,"Carter, Susan",2
MGT892,Introduction to Financial Crisis Communications,T  Th 10:10 AM-11:30 AM,"Wiggins, Rosalind",2
MGT938,Macroeconomic Strategies,Th 4:10 PM-7:10 PM,"Brooks, Jordan",2
MGMT701,Seminar In Accounting Rsrch II,T 2:40 PM-5:40 PM,"Barrios, John",1
MGMT736,Organizations and Management I: Inside Organizations,W 1:00 PM-4:00 PM,"Germano, Adriana",1
MGMT737,Applied Empirical Methods,T  Th 2:40 PM-4:00 PM,"Goldsmith-Pinkham, Paul",1
MGMT745,Behavioral Finance,Th 4:10 PM-7:10 PM,"Barberis, Nicholas",1
MGMT752,Seminar in Quantitative Marketing II,F 8:30 AM-11:30 AM,"Uetake, Kosuke",1
MGMT758,Foundations of Behavioral Economics,W 1:00 PM-4:00 PM,"Frederick, Shane",1
MGMT761,Corporate Finance,W 9:00 AM-12:00 PM,"Ma, Song",1
MGMT781,Accounting/Finance Seminar,F 11:10 AM-12:30 PM,"Fontanier, Paul",1
MGMT781,Marketing Seminar,Th 11:35 AM-12:50 PM,"Klusowski, Joowon",1
MGMT781,Organizations & Management Seminar,T 11:35 AM-12:50 PM,"Munguia Gomez, David",1
MGMT781,Operations Seminar,T 11:45 AM-12:45 PM,"Monachou, Faidra",1
MGMT782,Ph.D. PreSeminar: Financial Economics,F 9:50 AM-11:00 AM,"Fontanier, Paul",1
MGMT782,Ph.D. PreSeminar: Marketing,Th 10:10 AM-11:20 AM,"Klusowski, Joowon",1
MGMT782,Ph.D. PreSeminar: Organizations & Management,T 10:10 AM-11:20 AM,"Munguia Gomez, David",1
MGMT782,Ph.D. PreSeminar: Operations,M 1:00 PM-4:00 PM,"Monachou, Faidra",1
MGT503,Everyday Leadership,W 4:10 PM-7:10 PM,"Brooks, Heidi",4
MGT523,Monetary Policy,M  W 1:00 PM-2:20 PM,"English, William",4
MGT525,Competitive Strategy,T  Th 8:30 AM-9:50 AM,"Williams, Kevin",4
MGT525,Competitive Strategy,T  Th 10:10 AM-11:30 AM,"Williams, Kevin",4
MGT525,Competitive Strategy,T  Th 1:00 PM-2:20 PM,"Williams, Kevin",4
MGT531,Interpersonal Dynamics,T 2:40 PM-5:40 PM,"Tate, David",4
MGT540,Personal Finance,T  Th 2:40 PM-4:00 PM,"Choi, James",4
MGT540,Personal Finance,T  Th 4:10 PM-5:30 PM,"Choi, James",4
MGT541,Corporate Finance,T 1:00 PM-4:00 PM,"Shue, Kelly",4
MGT544,Investment Management,T  Th 1:00 PM-2:20 PM,"Goldsmith-Pinkham, Paul",4
MGT554,AI for Business Decisions,M  W 2:40 PM-4:00 PM,"Wang, Tong",4
MGT554,AI for Business Decisions,M  W 4:10 PM-5:30 PM,"Wang, Tong",4
MGT555,Pricing Strategy,T  Th 10:10 AM-11:30 AM,"Ghili, Soheil",4
MGT555,Pricing Strategy,T  Th 1:00 PM-2:20 PM,"Ghili, Soheil",4
MGT561,Product Management,T  Th 2:40 PM-4:00 PM,"Burnap, Alex",4
MGT561,Product Management,T  Th 4:10 PM-5:30 PM,"Burnap, Alex",4
MGT566,ESG Controller,T  Th 10:10 AM-11:30 AM,"Cort, Todd",4
MGT575,Generative AI and Social Media,T  Th 2:40 PM-4:00 PM,"Zaman, Tauhid",4
MGT575,Generative AI and Social Media,T  Th 4:10 PM-5:30 PM,"Zaman, Tauhid",4
MGT589,Competition Economics & Policy,M  W 8:30 AM-9:50 AM,"Scott Morton, Fiona",4
MGT623,Strategic Leadership Across Sectors,Th 2:40 PM-5:40 PM,"Sonnenfeld, Jeffrey",4
MGT626,Leadership Strategies for Music Presenters,W 4:30 PM-9:00 PM,"Blocker, Robert",4
MGT646,Start-up Founder Practicum,T 11:40 AM-12:50 PM,"McFadden, Jennifer",4
MGT650,Customer Insights and Applications,W 5:45 PM-7:15 PM,"Ahmed, Treeny",6
MGT683,Renewable Energy Project Finance,T  Th 9:00 AM-10:20 AM,"Gross, Daniel",4
MGT686,Strategies for Land Conservation,T 2:30 PM-5:20 PM,"Gentry, Bradford",4
MGT687,Sustainable Business Capstone Consulting Clinic,T  Th 1:00 PM-2:20 PM,"Boyd, Peter",4
MGT688,Corporate Sustainability: Strategy and Management,M  W 2:30 PM-3:50 PM,"Esty, Daniel",4
MGT692,Climate Tech Innovation and Commercialization,T 2:40 PM-5:40 PM,"Speirs, Steph",4
MGT696,Debating Globalization,M 9:25 AM-11:15 AM,"Zedillo, Ernesto",4
MGT698,"Healthcare Policy, Finance, and Economics",M  W 10:10 AM-11:30 AM,"Forman, Howie",4
MGT699,Colloquium in Healthcare Leadership,Th 6:30 PM-7:30 PM,"Forman, Howie",1
MGT826,Inclusive Economic Development Lab: Special Topics,M  W 1:00 PM-2:20 PM,"Cooney, Kate",4
MGT845,Portfolio Management in Practice,T  Th 2:40 PM-4:00 PM,"Nalbantoglu, Osman",4
MGT865,Global Social Entrepreneurship: Brazil,T 4:10 PM-7:10 PM,"Sheldon, Tony",4
MGT896,America’s Future Role in the Global Economy,Th 1:00 PM-4:00 PM,"Garten, Jeffrey",4
MGT920,GNAM: Natural Capital: Risks and Opportunities in Global Resource Systems,T  Th 8:30 AM-9:50 AM,"Cort, Todd",4
MGT921,Asset Management Colloquium,F 12:30 PM-2:30 PM,"Moskowitz, Tobias",2
MGT928,Asset Management Practical Experience,F 3:00 PM-6:00 PM,"Moskowitz, Tobias",0
MGT943,Financial Stability Regulation,T  Th 1:00 PM-2:20 PM,"McNamara, Christian",4
MGT945,Macroprudential Policy II,M  W 2:40 PM-4:00 PM,"Feldberg, Greg",4
MGT949,Systemic-Risk Colloquium,F 2:00 PM-3:20 PM,"Metrick, Andrew",2
MGT984,Studies in Grand Strategy I,M  W 1:00 PM-2:15 PM,"Brenes, Michael",4
MGT985,Navigating Contradiction: International Organizations Operating in China,W 3:20 PM-5:20 PM,"Knup, Elizabeth",4
